,age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,sex,smoking,time,DEATH_EVENT
age,1.0,0.0880064413193916,-0.08158389977909229,-0.10101238518196966,0.06009836323291317,0.09328868460631876,-0.05235436663012704,0.15918713328355003,-0.045965840839560256,0.06542952364475427,0.018667867990770408,-0.22406841997203494,0.25372854308800347
anaemia,0.0880064413193916,1.0,-0.19074103020066285,-0.012729045809463367,0.03155697075815429,0.03818200273242718,-0.04378554973240566,0.05217360364693803,0.04188161029786256,-0.09476896093314953,-0.10728983823716665,-0.1414139822724653,0.06627009846028795
creatinine_phosphokinase,-0.08158389977909229,-0.19074103020066285,1.0,-0.009638513675167997,-0.04407955445671152,-0.0705899799632517,0.024463388519574126,-0.016408479546217346,0.059550155833725735,0.07979062873290346,0.0024212351965237004,-0.00934565314298209,0.06272816025237475
diabetes,-0.10101238518196966,-0.012729045809463367,-0.009638513675167997,1.0,-0.004850309667580941,-0.012732381675485948,0.09219282828243905,-0.0469753153792132,-0.0895506193058877,-0.15772950433810978,-0.1471734133234141,0.03372550900034768,-0.0019428833442033991
ejection_fraction,0.06009836323291317,0.03155697075815429,-0.04407955445671152,-0.004850309667580941,1.0,0.02444473137627511,0.07217746574435013,-0.011302474995417082,0.1759022820079626,-0.14838596532635928,-0.06731456733133784,0.04172923548352845,-0.26860331239406127
high_blood_pressure,0.09328868460631876,0.03818200273242718,-0.0705899799632517,-0.012732381675485948,0.02444473137627511,1.0,0.04996348119795095,-0.0049345251139907296,0.037109469732183924,-0.10461462935689739,-0.055711368777562775,-0.1964394789312626,0.0793510576912853
platelets,-0.05235436663012704,-0.04378554973240566,0.024463388519574126,0.09219282828243905,0.07217746574435013,0.04996348119795095,1.0,-0.04119807711256375,0.06212461923840678,-0.12512048280918261,0.02823444771434774,0.010513908990174799,-0.04913886798037408
serum_creatinine,0.15918713328355003,0.05217360364693803,-0.016408479546217346,-0.0469753153792132,-0.011302474995417082,-0.0049345251139907296,-0.04119807711256375,1.0,-0.18909521009117405,0.006969778483151021,-0.027414135447069114,-0.14931541756792913,0.29427756098414914
serum_sodium,-0.045965840839560256,0.04188161029786256,0.059550155833725735,-0.0895506193058877,0.1759022820079626,0.037109469732183924,0.06212461923840678,-0.18909521009117405,1.0,-0.02756612272823605,0.004813194662557512,0.08764000017336739,-0.19520359641640217
sex,0.06542952364475427,-0.09476896093314953,0.07979062873290346,-0.15772950433810978,-0.14838596532635928,-0.10461462935689739,-0.12512048280918261,0.006969778483151021,-0.02756612272823605,1.0,0.4458917119097906,-0.015608220381409205,-0.004316376319703093
smoking,0.018667867990770408,-0.10728983823716665,0.0024212351965237004,-0.1471734133234141,-0.06731456733133784,-0.055711368777562775,0.02823444771434774,-0.027414135447069114,0.004813194662557512,0.4458917119097906,1.0,-0.02283894244784745,-0.012623152709359344
time,-0.22406841997203494,-0.1414139822724653,-0.00934565314298209,0.03372550900034768,0.04172923548352845,-0.1964394789312626,0.010513908990174799,-0.14931541756792913,0.08764000017336739,-0.015608220381409205,-0.02283894244784745,1.0,-0.5269637792775774
DEATH_EVENT,0.25372854308800347,0.06627009846028795,0.06272816025237475,-0.0019428833442033991,-0.26860331239406127,0.0793510576912853,-0.04913886798037408,0.29427756098414914,-0.19520359641640217,-0.004316376319703093,-0.012623152709359344,-0.5269637792775774,1.0
